City,Country,Year,Month,Day,Temperature_Celsius,Humidity
West Marcus,ISR,2017,12,7,-6.8,95
Arnoldchester,BTN,2011,6,27,9.69,81
Wilsontown,PRT,2018,1,14,28.63,10
Annaville,JAM,2014,2,19,-5.32,31
Port Christopher,ARG,2016,9,4,2.08,29
Lake Chelseaton,NRU,2022,11,11,37.78,82
New Christopherhaven,BWA,2019,10,15,-16.93,63
Lake Kathleen,SLE,2017,11,24,-8.03,45
South Jessicaberg,GNB,2021,1,15,-13.2,51
South Traceystad,GNB,2017,3,23,25.04,2
Port Jill,TON,2019,1,3,3.89,18
Thomasport,SOM,2018,3,19,26.68,94
North Donald,MOZ,2015,8,2,17.85,60
Lynnside,MNE,2019,8,4,23.61,82
Shawnville,ARG,2019,3,9,15.39,84
Lake Stephenbury,SRB,2021,5,2,24.16,89
Shawnbury,VEN,2021,7,20,4.0,31
North Matthew,STP,2019,5,3,3.35,66
East Phylliston,PER,2011,3,19,24.65,39
North James,FJI,2017,11,23,-4.97,90
North Seth,TGO,2010,9,24,36.75,0
Alexanderfurt,TZA,2017,6,23,12.3,84
Lowefort,BFA,2012,7,3,27.64,11
Morrisonbury,ZMB,2023,2,15,-3.84,56
New Mary,FJI,2011,11,26,36.01,13
Davidchester,UGA,2020,7,26,7.31,83
Millsside,ISL,2012,12,4,34.64,55
Chaseview,TCD,2017,5,15,34.87,1
Stevenview,ALB,2018,9,21,-19.17,11
Hillstad,HND,2021,9,14,37.7,93
Collinsberg,PAN,2011,8,14,9.92,69
Nathanielshire,LKA,2016,4,21,6.64,0
Johnsonfurt,BDI,2018,1,24,9.5,41
Smithfurt,CUB,2011,9,7,-4.1,40
West Amy,ERI,2017,5,3,31.8,19
Hayeston,AFG,2017,4,7,-13.97,25
South Anthony,SMR,2020,5,21,38.65,64
Lake David,RUS,2010,9,5,23.27,19
Martinezfurt,TUV,2022,9,6,-3.96,55
North Brittanyshire,CUB,2021,7,14,19.36,53
Lake Sydneyfort,TCD,2020,7,10,14.14,90
Sharonchester,KOR,2020,9,14,-19.69,4
Port Thomas,BRA,2015,2,12,34.81,74
New Zacharystad,LCA,2020,8,11,-16.65,97
Edwinborough,TLS,2021,6,25,-16.95,59
Port Brandi,MKD,2016,6,9,-14.82,22
Williamsbury,ALB,2018,7,5,1.48,35
Terryville,MWI,2014,10,8,-9.85,28
New Victor,FJI,2013,2,9,28.82,3
Williamchester,LUX,2021,5,23,35.67,91
Kristinshire,AUT,2018,11,22,14.92,97
East David,AZE,2020,5,5,-3.99,23
South Billyborough,EGY,2012,2,23,29.78,70
East Davidtown,DJI,2021,9,20,2.84,32
West Chloe,JPN,2011,7,27,17.51,88
South Davidbury,SLV,2020,11,3,32.24,26
Medinatown,GUY,2010,1,3,29.41,92
Bergville,ARM,2017,10,17,-16.38,90
Payneville,BGR,2022,2,18,-11.28,61
New James,LCA,2019,8,8,21.37,70
Lake Jay,GUY,2015,5,13,19.48,100
Port Jonathanfurt,BRB,2018,6,9,22.7,76
Richardsonshire,TUN,2017,2,8,17.01,76
Sherihaven,GAB,2023,2,11,4.92,62
Nancyburgh,URY,2023,9,16,12.88,50
Hernandezburgh,IRL,2016,11,28,31.05,73
East Angelaburgh,AND,2019,6,1,27.86,57
Katelynberg,SAU,2021,4,1,-19.38,3
South Elizabeth,JPN,2015,11,23,12.63,52
West Janetshire,ETH,2018,10,11,-10.72,34
Marcusmouth,BGR,2018,6,18,39.71,23
Lake Richardchester,AZE,2010,3,11,-3.21,53
Claytonbury,SGP,2021,2,2,21.05,97
West Maurice,GEO,2022,5,2,3.42,12
Vanessaview,GHA,2020,11,13,4.27,42
Kingview,BHS,2019,4,19,33.97,11
North Kevin,GNQ,2021,8,26,-14.0,34
New Joseph,IRN,2016,7,18,16.71,79
Davisview,CYP,2010,1,3,-11.77,6
Maybury,GUY,2014,11,15,-19.44,49
North Timothy,NZL,2011,2,20,18.02,67
